name,location,founded_date,category,description,main_url,twitter_url,angellist_url,crunchbase_url,business_model,target_client,all_tags
Contractlytics,Salt Lake City,2012,No Category Assigned,Streamlined Record Retrieval has enhanced the entire medical record retrieval process.,http://www.contractlytics.com/,,,,,,
Contractually,"Vancouver, BC, Canada",2010,Document Automation - Web,"The fastest, easiest way to do contracts.",http://www.contractual.ly/,https://twitter.com/@contractually,https://angel.co/contractually,http://www.crunchbase.com/organization/contractually,Legal Tech,Companies,"documents, contracts, web, app"
ContratosApp,"Mexico City, Mexico",2014,Document Automation,ContratosApp offers a unique way for freelancers to create simple legal agreements and have an organized legal agenda.,http://www.contratosapp.com/,,,,,,
Cooley,"Palo Alto, CA, USA",1900,Document Automation,"Cooley GO is a new resource for entrepreneurs. Articles, document generators and more. Check it out at cooleygo.com",cooley.com,,,,,,
coparently,"Vancouver, BC, Canada",2014,Online Dispute Resolution,coparently is a scheduling and communication tool for divorced & seperated families.,coparently.com,,,,,,
Corporate + Startup Law,"San Francisco, CA, USA",2014,Marketplace,"Business law for established and startup companies: incorporation, contracts, transactions, acquisitions, financings, venture capital, equity compensation, stock options, securities law compliance.",http://www.calcorporatecounsel.com/,,,,,,
Corporize,"New York, NY, USA",1900,Marketplace,,www.corporize.com,,,http://www.crunchbase.com/organization/docracy,,,
CosmoLex,"North Brunswick, NJ, USA",2006,Practice Management,Cloud-Based Practice Management Software,http://www.cosmolex.com/,https://twitter.com/CosmoLexLLC,n/a,n/a,Legal Service Using Tech,Service Providers,"cloud, practice management"
Counsel on Call Services Inc,"Brentwood, TN, USA",1900,Marketplace,"Counsel on Call Services Inc is a United States-based legal services company. The Company provides managed services to corporate in-house legal departments and law firms. The company's attorneys work with in-house legal departments and law firms in managed services, or teams of attorneys on voluminous work that needs process and expert management; one attorney at a time for specific assignments or durations, and in a consultative role, collaborating with clients to determine how to handle and execute legal work. It has offices in Atlanta, Boston, Chicago, Dallfas, Memphis, Minneapolis and Nashville.",http://counseloncall.com/,,,,,,
counselytics,"New York, NY, USA",2013,Analytics,The Contractual Genome Project,http://www.counselytics.com/,https://twitter.com/counselytics,https://angel.co/counselytics-2,http://www.crunchbase.com/organization/counselytics,Legal Tech,Service Providers,"contracts, analytics, data mining"
Counterfeit.Technology,"New York, NY, USA",2014,No Category Assigned,"We scan the Web for sites selling counterfeit versions of your proprietary products and then ask every major traffic sources to remove those sites. Now, their customers can't find them anymore. It's really that simple.",http://counterfeit.technology/AL,,,,,,
Court Listener,"Berkeley, CA, USA",2010,Legal Research - Docket retrieval,Non-Profit Free Legal Search Engine,https://www.courtlistener.com/,https://twitter.com/courtlistener,n/a,n/a,Legal Service Using Tech,Service Providers,research
CourtReader,"Tel Aviv, Israel",2013,Practice Management,CourtReader lets lawyers in Israel open digitally signed emails from the court system on their Smartphone. This is the only solution which lets them open these emails not on the PC.,courtreader.co.il,,,,,,
CourtSide EDX,"Toronto, ON, Canada",2015,Document Automation,Service of legal documents,http://www.edxontario.com/,https://twitter.com/CourtSideEDX,,,Legal Tech,Companies,"Document Delivery, Document Exchange"
Credit Swarm,"San Francisco, CA, USA",2012,Document Automation,Credit Swarm is a free web application that lets users dispute errors on their credit reports online to all major credit bureaus.,http://creditswarm.herokuapp.com/,,,,,,
Crowdfunding Compliance Center,"New York City, NY, USA",2014,Document Automation,Crowdfunding Compliance Center is providing small business owners a suite of online resources to facilitate compliance with JOBS Act Crowdfunding and Regulation CF including:,cfcomply.com,,,,,,
CrowdLaw,"Berkeley, CA, USA",2014,Marketplace,CrowdLaw is used by advocates and clients to get the funds they need through easy-to-launch crowdfunding campaigns.,crowdlaw.net,,,,,,
