name,location,founded_date,category,description,main_url,twitter_url,angellist_url,crunchbase_url,employee_count
Lex Machina,Palo Alto,2009,Predictive Analytics & Litigation Data Mining,Legal Analytics for Winning IP Strategy,http://www.lexmachina.com ,https://twitter.com/lexmachina ,https://angel.co/lex-machina ,http://www.crunchbase.com/organization/lex-machina ,
Juristat,St. Louis,2012,Predictive Analytics & Litigation Data Mining,We Help Lawyers Predict the Future,http://www.juristat.com ,https://twitter.com/juristat ,https://angel.co/juristat ,http://www.crunchbase.com/organization/juristat ,
AssistMyCase,San Francisco,2013,Predictive Analytics & Litigation Data Mining,Predictive analysis for litigation,https://www.assistmycase.com/ ,https://twitter.com/AssistMyCase ,https://angel.co/assistmycase-inc-1 ,http://www.crunchbase.com/organization/assistmycase ,
counselytics,New York City,2013,Predictive Analytics & Litigation Data Mining,The Contractual Genome Project,http://www.counselytics.com/ ,https://twitter.com/counselytics ,https://angel.co/counselytics-2 ,http://www.crunchbase.com/organization/counselytics ,
LegalSifter,Pittsburgh,2013,Predictive Analytics & Litigation Data Mining,Automated legal document analysis,http://www.legalsifter.com,https://twitter.com/LegalSifter ,https://angel.co/legalsifter ,n/a,
Jurispect,San Francisco,2014,Predictive Analytics & Litigation Data Mining,Legal intelligence and collaboration for companies.,http://jurispect.com/ ,https://twitter.com/jurispect ,https://angel.co/jurispect ,n/a,
iubenda,Milan,2011,Specialty Document Assembly,Privacy policy generator,https://www.iubenda.com/en ,https://twitter.com/iubenda ,https://angel.co/iubenda ,http://www.crunchbase.com/organization/iubenda ,
Snapterms,Scottsdale,2011,Specialty Document Assembly,Terms of service as a service,http://snapterms.com ,https://twitter.com/Snapterms ,https://angel.co/snapterms ,http://www.crunchbase.com/organization/snapterms ,
TrademarkNow,New York City,2012,Specialty Document Assembly,The most advanced trademark protection technology in the world,https://www.trademarknow.com/,https://twitter.com/TrademarkNow,https://angel.co/trademarknow,http://www.crunchbase.com/organization/trademarknow,
PactSafe,Indianapolis,2013,Specialty Document Assembly,Manage your website legal agreements ,https://pactsafe.com/ ,https://twitter.com/PactSafe ,n/a,n/a,
Filey,San Mateo,2012,Storage & Attachments,Email Attachments Made Easy,https://www.fileyapp.com/ ,https://twitter.com/FileyApp ,https://angel.co/filey-inc ,http://www.crunchbase.com/organization/backupthat ,
